object_id,region,catalog_type,catalog_period,catalog_epoch,catalog_secondary_period,period_mode,sha256,file,bytes,n_observations,baseline_days,has_errors
OGLE-BLG-RRLYR-00001,BLG,RRab,0.73258757,5000.58187,,fundamental,a97966577763b358fd9bcd708b9d0325a1e354684784d5c2584726d3a86e8ecf,photometry/OGLE-BLG-RRLYR-00001.dat,2280,95,932.1778100000001,True
OGLE-BLG-RRLYR-00002,BLG,RRc,0.30153381,5000.05809,,first overtone,a45716900d790f1023e8961320e6f2bf3ad1797805b55e58e621d23385b0d01c,photometry/OGLE-BLG-RRLYR-00002.dat,2592,108,932.1778100000001,True
OGLE-BLG-RRLYR-00003,BLG,RRab,0.51546531,5000.38627,,fundamental,ddab21324ed9a0585c7e5ecf8eae0c9ecaaf2cdfb0c43f9a70939ed512f37e2a,photometry/OGLE-BLG-RRLYR-00003.dat,2688,112,932.1778100000001,True
OGLE-BLG-RRLYR-00004,BLG,RRab,0.65170674,5000.61934,,fundamental,e3a0ea9e884bd762160f261eb8d0d4f32f57f2f9037c509372a3114c73e08a56,photometry/OGLE-BLG-RRLYR-00004.dat,2712,113,932.1778100000001,True
OGLE-BLG-RRLYR-00005,BLG,RRab,0.56553785,5000.32078,,fundamental,ab6ab472bdcf78c8482db5ae55ca5f8f7284cf04909d63df37b4914fb20bff07,photometry/OGLE-BLG-RRLYR-00005.dat,2688,112,932.1778100000001,True
OGLE-BLG-RRLYR-00006,BLG,RRab,0.47887688,5000.26787,,fundamental,36b1d095992044b385962e2a760763165af1fc8fcb46cd130f299acafe5b865b,photometry/OGLE-BLG-RRLYR-00006.dat,2712,113,932.1778100000001,True
OGLE-BLG-RRLYR-00007,BLG,RRc,0.26129176,5000.04267,,first overtone,f1407b73ddeb6fc930de8c72db91c27d1359419efb08cdb30f5b365c3b6947f2,photometry/OGLE-BLG-RRLYR-00007.dat,2712,113,932.1778100000001,True
OGLE-BLG-RRLYR-00008,BLG,RRab,0.53493283,5000.50841,,fundamental,ab7ae6a3bf0527b72b9bf14e78f13c64c121a40a4e7266e4aaf5d7205f82deea,photometry/OGLE-BLG-RRLYR-00008.dat,2712,113,932.1778100000001,True
OGLE-BLG-RRLYR-00009,BLG,RRab,0.60416322,5000.42153,,fundamental,8996af247ee088f4da06d113e54811e5cfe8a13c4a52c4e58ce8286cc7659a98,photometry/OGLE-BLG-RRLYR-00009.dat,2688,112,932.1778100000001,True
OGLE-BLG-RRLYR-00010,BLG,RRab,0.6338724,5000.41881,,fundamental,eb1261ac8e30999d20d12751ec77040aaf20961d4d7f9de98f00eaeb6ebe383a,photometry/OGLE-BLG-RRLYR-00010.dat,2688,112,932.1778100000001,True
