object_id,region,catalog_type,catalog_period,catalog_epoch,catalog_secondary_period,period_mode,sha256,file,bytes,n_observations,baseline_days,has_errors,eligible,exclusion_reason
OGLE-BLG-RRLYR-00829,BLG,RRab,0.590575,5000.36249,,fundamental,45cbae08ab1d6714b01781084e12bd4d652b707327d86594ba54b6039e300f86,photometry/OGLE-BLG-RRLYR-00829.dat,8376,349,2277.91702,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-00931,BLG,RRab,0.4486856,5000.28463,,fundamental,1a24c06c4a98a9a8c02dabace4d59a51e6b23a4c34df3e6abf9aee100956491b,photometry/OGLE-BLG-RRLYR-00931.dat,7896,329,1655.28735,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-01940,BLG,RRab,0.48281048,5000.47544,,fundamental,6848c9d6ac095f98591f57c8f5027ab230205515543b22da3df607733b849714,photometry/OGLE-BLG-RRLYR-01940.dat,8040,335,1356.2702800000002,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-02047,BLG,RRc,0.33266976,5000.12795,,first overtone,dbc6ee125723c342344aa1d4132900fd866e5f3986e6e8b1f3b728fb574799c2,photometry/OGLE-BLG-RRLYR-02047.dat,7440,310,1655.3376999999996,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-02187,BLG,RRc,0.3103745,5000.2528,,first overtone,62fb65b4ecf2d565f1f842f2652fe7440478d5631e1afacb8370e3e7630bfb7f,photometry/OGLE-BLG-RRLYR-02187.dat,21408,892,2827.02244,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-02720,BLG,RRab,0.60870144,5000.31122,,fundamental,774935c084b1a13b0c87721754b67b48ee30e45a835331230d4cda888aa1fb85,photometry/OGLE-BLG-RRLYR-02720.dat,4752,198,1655.3082799999997,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-02725,BLG,RRc,0.3143,5000.0592,,first overtone,ab240dc254406289b572391582dc426b329846022e9a822f87cbd067dbdbe099,photometry/OGLE-BLG-RRLYR-02725.dat,14568,607,3248.02578,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-02884,BLG,RRab,0.49561275,5000.36206,,fundamental,5b108fbc8ec9fa1676a5daf68e3d3272c9601612ff5384e1a168eb40bad84ac9,photometry/OGLE-BLG-RRLYR-02884.dat,16512,688,3248.01264,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-03214,BLG,RRc,0.27938425,5000.09327,,first overtone,eefe041c5a3742bf28cb36a7c5fc11f3427d82449dac9c9f2fefe9622d329282,photometry/OGLE-BLG-RRLYR-03214.dat,33696,1404,2829.21247,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-03233,BLG,RRc,0.31955375,5000.31682,,first overtone,901a74d8e722f8a9ce4784ada3dd0c6ac632e71e72fb46f430702f34190a8ea9,photometry/OGLE-BLG-RRLYR-03233.dat,18768,782,2827.02729,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-03301,BLG,RRab,0.679895,5000.10473,,fundamental,a572a967a0611998b48eecb582d1955c4c07c4f876c0232ad2c50a30bfc28880,photometry/OGLE-BLG-RRLYR-03301.dat,33672,1403,2829.21247,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-03428,BLG,RRab,0.7890182,5000.37585,,fundamental,1232cac906e9c639e0d25021b3bb21d056f410bd374cdf582bc22bc040b481aa,photometry/OGLE-BLG-RRLYR-03428.dat,8256,344,1276.68002,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-03485,BLG,RRc,0.30806,5000.03604,,first overtone,072622c2cb882c6e65b1b6e668bf16acc00a416e5330be97689513c09b206f4c,photometry/OGLE-BLG-RRLYR-03485.dat,33624,1401,2829.21247,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-03593,BLG,RRc,0.2813518,5000.16151,,first overtone,100ae1a6f0fe1d4e64ac1bf09c5203e0b4e92218193d40bb9351bd415b1d4c41,photometry/OGLE-BLG-RRLYR-03593.dat,50832,2118,4403.77658,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-03652,BLG,RRc,0.32422976,5000.11743,,first overtone,f420f5960d960b9c08946372bfd4b27939da91b5cd7599a2ec9acf8f26c90390,photometry/OGLE-BLG-RRLYR-03652.dat,64920,2705,4403.00124,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-03779,BLG,RRab,0.4939372,5000.33909,,fundamental,44d72c9c9dede051d32ef3be538847ee715e117e91121d6616035f299d801401,photometry/OGLE-BLG-RRLYR-03779.dat,66648,2777,4403.84503,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-03807,BLG,RRc,0.2732497,5000.11814,,first overtone,96969dc4727ad45d5fe83c4d83c3c73d5b472d5731072bb9588ddb2733cea34c,photometry/OGLE-BLG-RRLYR-03807.dat,63600,2650,4402.94338,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-03887,BLG,RRc,0.31557664,5000.01351,,first overtone,340cd971e887b22be78d2ddddab0f2c70129e2d78ec9653e92141ce252e11421,photometry/OGLE-BLG-RRLYR-03887.dat,66600,2775,4403.84576,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-03968,BLG,RRab,0.453324,5000.01878,,fundamental,cb929a0e8dc6901f5f1f8c13d9b88c16e1ca041220d51841c2058d0c9260eaae,photometry/OGLE-BLG-RRLYR-03968.dat,31248,1302,2830.22542,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-03989,BLG,RRab,0.53195415,5000.14116,,fundamental,b06399c7962bb03077f64f300a38d6a7812b71a7efae5ed82613e376db802617,photometry/OGLE-BLG-RRLYR-03989.dat,66672,2778,4403.84505,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-04078,BLG,RRab,0.5459475,5000.03997,,fundamental,0dc17270871bd7c6f62a0f1a390dbbd0d9a8e321249ac260b3ab5c20c843ab53,photometry/OGLE-BLG-RRLYR-04078.dat,66528,2772,4403.8460000000005,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-04186,BLG,RRc,0.32724968,5000.10169,,first overtone,c9e6ef6882b27c47158a1f863101df9bb01d155ebc6f988d0a820dbf34e8ed0d,photometry/OGLE-BLG-RRLYR-04186.dat,65832,2743,4403.8458200000005,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-04198,BLG,RRc,0.3282324,5000.14301,,first overtone,ba099fbd628d1bc6960af2b7e263447cf91ca7788799ac9e6d2916c5784cebcc,photometry/OGLE-BLG-RRLYR-04198.dat,33840,1410,2829.21247,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-04215,BLG,RRc,0.3694241,5000.32866,,first overtone,ec8d74c2b09425b4ac3a4561f685bd495f16dfe08440c5ca32b6fe2978ba67e0,photometry/OGLE-BLG-RRLYR-04215.dat,66216,2759,4403.8460000000005,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-04233,BLG,RRab,0.57751425,5000.00628,,fundamental,b97c17c847b33d54c36a0c2d683501fe2bda7862b4e0e76aabc3a515dd76f8d1,photometry/OGLE-BLG-RRLYR-04233.dat,45192,1883,4397.01939,True,False,Exact duplicate folded phases
OGLE-BLG-RRLYR-04250,BLG,RRab,0.4751182,5000.2765,,fundamental,56bb4e50e44a76599a95d6dd407a32bd6d2fe38053935ea797676c6fc77ae8d1,photometry/OGLE-BLG-RRLYR-04250.dat,66576,2774,4403.00523,True,False,Exact duplicate folded phases
