OGLE-BLG-RRLYR-00001  15.545 16.817  0.73258757 0.00000240  5000.58187  0.438  0.435 4.836  0.253 3.590
OGLE-BLG-RRLYR-00003  16.373 17.536  0.51546531 0.00000081  5000.38627  0.667  0.541 4.295  0.381 2.574
OGLE-BLG-RRLYR-00004  15.933 17.123  0.65170674 0.00000484  5000.61934  0.278  0.362 4.723  0.212 3.280
OGLE-BLG-RRLYR-00005  15.279 16.554  0.56553785 0.00000796  5000.32078  0.666  0.367 4.261  0.125 2.427
OGLE-BLG-RRLYR-00006  15.790 17.036  0.47887688 0.00000040  5000.26787  0.766  0.502 4.122  0.385 2.273
OGLE-BLG-RRLYR-00008  15.407 16.687  0.53493283 0.00000144  5000.50841  0.600  0.541 4.383  0.379 2.735
OGLE-BLG-RRLYR-00009  15.709 16.892  0.60416322 0.00000081  5000.42153  0.759  0.512 4.197  0.341 2.379
OGLE-BLG-RRLYR-00010  15.549 16.745  0.63387240 0.00000186  5000.41881  0.315  0.399 4.790  0.194 3.458
OGLE-BLG-RRLYR-00014  16.370 17.559  0.39847694 0.00000095  5000.21238  0.545  0.558 4.036  0.345 2.361
OGLE-BLG-RRLYR-00016  16.042 17.242  0.54626274 0.00000164  5000.27711  0.604  0.529 4.414  0.349 2.809
OGLE-BLG-RRLYR-00019  15.123 16.245  0.52428824 0.00000548  5000.04600  0.452  0.412 4.356  0.164 2.808
OGLE-BLG-RRLYR-00020  15.695 16.901  0.61750621 0.00000175  5000.08049  0.260  0.373 4.715  0.177 3.432
OGLE-BLG-RRLYR-00021  15.963 17.134  0.48968326 0.00000181  5000.42777  0.387  0.469 4.744  0.277 3.317
OGLE-BLG-RRLYR-00025  15.770 16.918  0.54983234 0.00000072  5000.32022  0.632  0.544 4.439  0.345 2.846
OGLE-BLG-RRLYR-00027  15.743 16.868  0.47831404 0.00000049  5000.07318  0.795  0.515 4.126  0.379 2.220
OGLE-BLG-RRLYR-00029  15.611 16.662  0.59090696 0.00000861  5000.14998  0.612  0.434 4.301  0.125 2.595
OGLE-BLG-RRLYR-00030  15.364 16.661  0.57568226 0.00000139  5000.04280  0.466  0.509 4.562  0.308 3.027
OGLE-BLG-RRLYR-00031  16.312    -    0.55997509 0.00000966  5000.41723  0.604  0.518 4.454  0.293 2.847
OGLE-BLG-RRLYR-00034  15.667 16.834  0.52857955 0.00000208  5000.27662  0.552  0.502 4.425  0.282 2.879
OGLE-BLG-RRLYR-00041  15.711 16.891  0.73572898 0.00000674  5000.34854  0.368  0.434 4.986  0.241 3.851
OGLE-BLG-RRLYR-00042  15.675 18.535  0.74000926 0.00002058  5000.32779  0.043  0.144 4.857  0.000   -  
OGLE-BLG-RRLYR-00043  15.627 16.702  0.59038920 0.00000057  5000.18738  0.687  0.554 4.449  0.366 2.717
OGLE-BLG-RRLYR-00045  16.063 17.373  0.58056619 0.00000511  5000.32959  0.519  0.458 4.600  0.297 2.976
