OGLE-BLG-RRLYR-00039  15.927 17.414  0.35827941 0.00000143  5000.16981  0.266  0.136 4.955  0.104 3.903  0.48137703 0.00000679  5000.16834  0.098  0.112 3.921  0.000   -  
OGLE-BLG-RRLYR-00319  15.850 17.238  0.38232126 0.00000137  5000.29047  0.257  0.170 5.084  0.069 3.360  0.51266681 0.00000641  5000.14633  0.098  0.103 4.314  0.000   -  
OGLE-BLG-RRLYR-00461  16.718 18.415  0.30317573 0.00000087  5000.24829  0.261  0.111 5.231  0.101 4.347  0.40821778 0.00001623  5000.30854  0.020  0.000   -    0.000   -  
OGLE-BLG-RRLYR-00661  17.957 20.163  0.40534639 0.00000342  5000.15413  0.235  0.141 5.464  0.000   -    0.54326832 0.00002587  5000.14104  0.053  0.000   -    0.000   -  
OGLE-BLG-RRLYR-00727  15.535 17.450  0.40404393 0.00000171  5000.29084  0.221  0.155 5.149  0.075 3.253  0.54158314 0.00000749  5000.21429  0.090  0.168 4.422  0.000   -  
OGLE-BLG-RRLYR-00951  16.800 18.897  0.39764691 0.00000153  5000.22088  0.134  0.190 4.557  0.096 1.862  0.54469170 0.00000209  5000.28942  0.192  0.000   -    0.037 0.869
OGLE-BLG-RRLYR-00971  17.502 20.040  0.25958939 0.00000039  5000.24971  0.279  0.179 4.838  0.061 3.534  0.35652317 0.00000957  5000.14753  0.019  0.000   -    0.000   -  
OGLE-BLG-RRLYR-00978  16.092 17.556  0.43356072 0.00000168  5000.41860  0.242  0.164 5.478  0.079 3.948  0.58180215 0.00001919  5000.09577  0.049  0.000   -    0.000   -  
OGLE-BLG-RRLYR-01194  16.680 19.294  0.38510177 0.00000060  5000.12155  0.254  0.150 4.938  0.090 3.301  0.51607045 0.00000436  5000.40041  0.067  0.000   -    0.000   -  
OGLE-BLG-RRLYR-01275  18.843 20.443  0.35277834 0.00000549  5000.34596  0.263  0.186 5.139  0.000   -    0.47394850 0.00001411  5000.41898  0.157  0.000   -    0.000   -  
OGLE-BLG-RRLYR-01846  18.843 20.678  0.35230451 0.00000700  5000.34143  0.255  0.193 5.730  0.000   -    0.47340672 0.00001914  5000.11108  0.145  0.000   -    0.000   -  
OGLE-BLG-RRLYR-01988  16.152 17.613  0.32209064 0.00000085  5000.01429  0.246  0.087 4.889  0.070 3.944  0.43550820 0.00000773  5000.30408  0.045  0.000   -    0.000   -  
OGLE-BLG-RRLYR-02018  17.316 19.095  0.25517919 0.00000125  5000.22601  0.029  0.000   -    0.000   -    0.35079088 0.00000011  5000.34210  0.476  0.389 4.456  0.197 2.655
OGLE-BLG-RRLYR-02027  16.630 17.825  0.27861560 0.00000091  5000.07248  0.226  0.097 5.509  0.000   -    0.37989066 0.00000219  5000.18741  0.195  0.206 4.301  0.092 1.889
OGLE-BLG-RRLYR-02202  17.219 18.843  0.34764639 0.00000033  5000.13147  0.202  0.153 5.074  0.047 3.473  0.46752253 0.00000113  5000.18501  0.110  0.137 4.123  0.000   -  
OGLE-BLG-RRLYR-02530  16.500 18.132  0.33760316 0.00000142  5000.27100  0.140  0.278 3.711  0.124 6.022  0.46359201 0.00000077  5000.28609  0.298  0.109 3.965  0.045 0.277
OGLE-BLG-RRLYR-02676  20.374    -    0.39493753 0.00001003  5000.07762  0.262  0.000   -    0.000   -    0.52980565 0.00001145  5000.20587  0.172  0.488   -    0.302   -  
OGLE-BLG-RRLYR-02794  17.917 19.056  0.28567462 0.00000041  5000.11480  0.212  0.101 4.936  0.000   -    0.38975879 0.00000066  5000.19863  0.234  0.226 4.446  0.000   -  
OGLE-BLG-RRLYR-02862  16.579 18.511  0.33541050 0.00000118  5000.24307  0.124  0.249 4.376  0.125 3.058  0.45971363 0.00000229  5000.38153  0.141  0.198 4.256  0.000   -  
OGLE-BLG-RRLYR-02985  16.698 17.879  0.29037406 0.00000346  5000.00955  0.040  0.313 5.356  0.000   -    0.39873884 0.00000051  5000.04399  0.351  0.322 4.737  0.129 3.033
OGLE-BLG-RRLYR-03978  16.392 18.469  0.34176006 0.00000022  5000.33130  0.158  0.079 5.004  0.071 4.222  0.46136901 0.00000378  5000.23709  0.018  0.000   -    0.000   -  
OGLE-BLG-RRLYR-04254  16.500 18.106  0.26803736 0.00000022  5000.20284  0.167  0.062 4.371  0.000   -    0.36695727 0.00000050  5000.32193  0.149  0.078 3.540  0.000   -  
OGLE-BLG-RRLYR-04483  18.175 21.846  0.32489304 0.00000016  5000.01101  0.266  0.102 5.135  0.072 3.963  0.43922050 0.00000080  5000.19211  0.100  0.000   -    0.000   -  
OGLE-BLG-RRLYR-04595  16.798 18.570  0.31988957 0.00000020  5000.15965  0.261  0.113 5.037  0.077 4.181  0.43253399 0.00000292  5000.11239  0.033  0.000   -    0.000   -  
OGLE-BLG-RRLYR-04598  17.713 20.968  0.34671323 0.00000021  5000.18303  0.171  0.125 5.514  0.061 4.478  0.46226277 0.00000071  5000.00597  0.094  0.192 3.203  0.000   -  
OGLE-BLG-RRLYR-05475  15.862 17.483  0.39644171 0.00000017  5000.00024  0.255  0.169 5.085  0.067 3.280  0.53082299 0.00000218  5000.24519  0.041  0.000   -    0.105 4.676
OGLE-BLG-RRLYR-05762  16.610 18.800  0.34731328 0.00000049  5000.05779  0.080  0.093 4.114  0.057 4.867  0.46624531 0.00000022  5000.39267  0.231  0.481 3.353  0.165 1.192
OGLE-BLG-RRLYR-06283  15.876 18.038  0.37341528 0.00000030  5000.35316  0.103  0.146 5.581  0.017 4.356  0.50511791 0.00000044  5000.05797  0.117  0.245 3.922  0.062 1.799
OGLE-BLG-RRLYR-06613  16.583 18.193  0.29500807 0.00000015  5000.24491  0.206  0.103 5.325  0.060 4.195  0.40050942 0.00000045  5000.00615  0.146  0.115 4.552  0.033 0.392
OGLE-BLG-RRLYR-06928  15.074 15.997  0.37319773 0.00000058  5000.05029  0.233  0.153 5.141  0.070 3.546  0.50116370 0.00000152  5000.00771  0.158  0.167 3.884  0.035 2.495
OGLE-BLG-RRLYR-06974  16.437 18.078  0.27553868 0.00000047  5000.13465  0.177  0.120 5.228  0.054 3.293  0.37579017 0.00000072  5000.26902  0.231  0.268 4.203  0.078 2.534
OGLE-BLG-RRLYR-07226  16.982 18.588  0.35363240 0.00000143  5000.30080  0.183  0.141 5.478  0.000   -    0.47495472 0.00000198  5000.46528  0.233  0.152 3.917  0.000   -  
OGLE-BLG-RRLYR-07393  16.340 17.942  0.34454542 0.00000125  5000.31647  0.132  0.094 4.317  0.048 1.483  0.46208360 0.00000137  5000.07158  0.204  0.203 3.914  0.094 1.632
OGLE-BLG-RRLYR-07451  16.240 17.340  0.27489267 0.00000091  5000.14252  0.214  0.133 5.317  0.000   -    0.37555400 0.00000180  5000.19794  0.196  0.078 4.193  0.000   -  
OGLE-BLG-RRLYR-07533  16.614 18.174  0.27560928 0.00000019  5000.25862  0.223  0.124 5.246  0.028 3.604  0.37591656 0.00000031  5000.07859  0.225  0.234 4.226  0.061 2.515
OGLE-BLG-RRLYR-07686  15.528    -    0.34684355 0.00000120  5000.20035  0.269  0.176 5.194  0.038 3.891  0.46651611 0.00000313  5000.46522  0.198  0.228 4.029  0.000   -  
OGLE-BLG-RRLYR-08461  18.672 21.184  0.42195041 0.00000321  5000.26921  0.094  0.233 4.645  0.000   -    0.56591913 0.00001424  5000.54072  0.035  0.000   -    0.000   -  
OGLE-BLG-RRLYR-08758  16.638 17.791  0.29601142 0.00000015  5000.25374  0.274  0.105 4.923  0.051 3.957  0.40167265 0.00000102  5000.10039  0.082  0.116 3.987  0.000   -  
OGLE-BLG-RRLYR-09258  16.479 18.294  0.27766753 0.00000010  5000.07861  0.205  0.105 4.960  0.066 4.072  0.37932808 0.00000033  5000.00661  0.115  0.132 4.461  0.000   -  
OGLE-BLG-RRLYR-09284  15.411 17.665  0.32300384 0.00000038  5000.07396  0.114  0.057 5.071  0.052 4.539  0.43680754 0.00000236  5000.02632  0.034  0.093 3.685  0.082 2.016
OGLE-BLG-RRLYR-09602  17.640 19.836  0.35851249 0.00000112  5000.32571  0.261  0.201 4.906  0.000   -    0.48158137 0.00000292  5000.32538  0.187  0.113 3.896  0.200 3.322
OGLE-BLG-RRLYR-09692  16.442 19.500  0.32690810 0.00000033  5000.25908  0.098  0.078 5.066  0.068 3.888  0.44176365 0.00000181  5000.24486  0.033  0.000   -    0.000   -  
OGLE-BLG-RRLYR-09742  16.693 18.596  0.31927311 0.00000016  5000.15139  0.250  0.111 5.152  0.057 4.289  0.43177753 0.00000091  5000.35183  0.089  0.105 4.376  0.000   -  
OGLE-BLG-RRLYR-09965  16.018 17.503  0.34413091 0.00000355  5000.05236  0.190  0.255 4.048  0.089 4.097  0.45976981 0.00000297  5000.03161  0.366  0.374 3.394  0.173 0.386
OGLE-BLG-RRLYR-10242  16.612 18.292  0.32604096 0.00000014  5000.19418  0.257  0.104 4.964  0.075 4.111  0.44075929 0.00000613  5000.28071  0.012  0.000   -    0.000   -  
OGLE-BLG-RRLYR-10369  16.546 18.407  0.32169480 0.00000016  5000.31460  0.218  0.102 5.103  0.062 4.031  0.43486158 0.00000078  5000.30526  0.085  0.086 4.312  0.000   -  
OGLE-BLG-RRLYR-10421  16.709 18.132  0.26253134 0.00000016  5000.06205  0.167  0.115 5.186  0.057 3.589  0.36033805 0.00000023  5000.10359  0.199  0.219 4.366  0.074 2.222
