object_id,candidate_rank,reason
OGLE-GD-RRLYR-00757,71,Fewer than 30 observations for periodic shape fitting.
OGLE-GD-RRLYR-10308,86,Fewer than 30 observations for periodic shape fitting.
OGLE-GD-RRLYR-11518,184,Fewer than 30 observations for periodic shape fitting.
OGLE-GD-RRLYR-04129,244,Fewer than 30 observations for periodic shape fitting.
OGLE-GD-RRLYR-03432,332,Fewer than 30 observations for periodic shape fitting.
OGLE-GD-RRLYR-11628,404,Fewer than 30 observations for periodic shape fitting.
OGLE-GD-RRLYR-04535,592,Fewer than 30 observations for periodic shape fitting.
OGLE-GD-RRLYR-02804,714,Fewer than 30 observations for periodic shape fitting.
OGLE-GD-RRLYR-01772,787,Fewer than 30 observations for periodic shape fitting.
OGLE-GD-RRLYR-06838,864,Fewer than 30 observations for periodic shape fitting.
OGLE-GD-RRLYR-03826,992,Fewer than 30 observations for periodic shape fitting.
