representation,model,convention,ari_all,ami_all,coverage,n_noise,n_clusters,purity_assigned,ari_assigned,silhouette_assigned
JDR,K-medoids,Euclidean sqrt sensitivity,0.28446853045796966,0.3621899366330817,1.0,0,3,0.913,0.28446853045796966,0.4029369493204995
JDR,K-means,Euclidean sqrt sensitivity,0.3070183258060435,0.37367142122184704,1.0,0,3,0.918,0.3070183258060435,0.4083830246467543
JDR,Average linkage,Euclidean sqrt sensitivity,0.6693230861489071,0.5194327159819161,1.0,0,3,0.911,0.6693230861489071,0.5222005265357061
JDR,DBSCAN,Euclidean sqrt sensitivity,0.5351998563271123,0.3709642622297663,0.82,180,8,0.9548780487804878,0.7718376560156301,0.2627131097622905
JDR,HDBSCAN,Euclidean sqrt sensitivity,0.48893408325405,0.36620745588471393,0.761,239,3,0.9579500657030223,0.7829963193239315,0.3560290092484917
Classical shape,K-medoids,Euclidean sqrt sensitivity,0.3375765970035507,0.416210928872279,1.0,0,3,0.942,0.3375765970035507,0.17231988849681623
Classical shape,K-means,Euclidean sqrt sensitivity,0.31353559608897313,0.32104565892305165,1.0,0,3,0.855,0.31353559608897313,0.2876586139853453
Classical shape,Average linkage,Euclidean sqrt sensitivity,0.012011681522498692,0.01275727729349657,1.0,0,3,0.781,0.012011681522498692,0.6436720768543667
Classical shape,DBSCAN,Euclidean sqrt sensitivity,0.07429798113126783,0.02263701664175849,0.774,226,1,0.8074935400516796,0.0,
Classical shape,HDBSCAN,Euclidean sqrt sensitivity,0.15195759288657346,0.2785258623350133,0.486,514,2,0.9958847736625515,0.975820797335313,0.4372392046913231
Classical full,K-medoids,Euclidean sqrt sensitivity,0.38416771014636575,0.5074716115292411,1.0,0,3,0.968,0.38416771014636575,0.21881285979338758
Classical full,K-means,Euclidean sqrt sensitivity,0.4272486914201588,0.4493068391482729,1.0,0,3,0.922,0.4272486914201588,0.30394539223625433
Classical full,Average linkage,Euclidean sqrt sensitivity,0.021861682152720364,0.013958249397037648,1.0,0,3,0.782,0.021861682152720364,0.6591298025890613
Classical full,DBSCAN,Euclidean sqrt sensitivity,0.07251212236488433,0.02946970686640918,0.791,209,1,0.8040455120101138,0.0,
Classical full,HDBSCAN,Euclidean sqrt sensitivity,0.2587909714625596,0.35389322673310175,0.573,427,2,1.0,1.0,0.4725327996556172
