representation,model,ari_all,ami_all,coverage,n_noise,n_clusters,purity_assigned,ari_assigned,silhouette_assigned
JDR,K-medoids,0.2919057724534147,0.3654160103724583,1.0,0,3,0.915,0.2919057724534147,0.5888521770131174
JDR,K-means,0.3070183258060435,0.37367142122184704,1.0,0,3,0.918,0.3070183258060435,0.5928867386219715
JDR,Average linkage,0.6729809313986163,0.5036743972855989,1.0,0,3,0.913,0.6729809313986163,0.7049471999250632
JDR,DBSCAN,0.5351998563271123,0.3709642622297663,0.82,180,8,0.9548780487804878,0.7718376560156301,0.3187572869436591
JDR,HDBSCAN,0.24236942177011928,0.25367650613312526,0.637,363,7,0.9544740973312402,0.6450429020945633,-0.08724239257521613
Classical shape,K-medoids,0.3801143462782299,0.391119331980113,1.0,0,3,0.914,0.3801143462782299,0.39213963473779184
Classical shape,K-means,0.31353559608897313,0.32104565892305165,1.0,0,3,0.855,0.31353559608897313,0.40605642852565654
Classical shape,Average linkage,0.021861682152720364,0.013958249397037648,1.0,0,3,0.782,0.021861682152720364,0.8768580704855781
Classical shape,DBSCAN,0.07429798113126783,0.02263701664175849,0.774,226,1,0.8074935400516796,0.0,
Classical shape,HDBSCAN,0.15195759288657346,0.2785258623350133,0.486,514,2,0.9958847736625515,0.975820797335313,0.6133131461043929
Classical full,K-medoids,0.6649997892691218,0.5579510967682868,1.0,0,3,0.907,0.6649997892691218,0.4697959662006946
Classical full,K-means,0.4272486914201588,0.4493068391482729,1.0,0,3,0.922,0.4272486914201588,0.4366586716163624
Classical full,Average linkage,0.013491042468538881,0.012326129531982234,1.0,0,3,0.781,0.013491042468538881,0.859430179491171
Classical full,DBSCAN,0.07251212236488433,0.02946970686640918,0.791,209,1,0.8040455120101138,0.0,
Classical full,HDBSCAN,0.2587909714625596,0.35389322673310175,0.573,427,2,1.0,1.0,0.6710547332493361
