representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
JDR,K-medoids,0,1.0,1.0,1.0,1.0,0.30846774284339307
JDR,K-means,0,0.9927611825703545,0.9927611825703545,1.0,1.0,0.3257755272223159
JDR,Average linkage,0,0.786736303745127,0.786736303745127,1.0,1.0,0.7208768179487196
JDR,DBSCAN,0,0.883926867092074,0.9241961443161462,0.79625,0.82125,0.5197772605172785
JDR,HDBSCAN,0,0.6928473378187108,0.8619342286009554,0.57,0.625,0.2074274619656813
Classical shape,K-medoids,0,0.8346014922590133,0.8346014922590133,1.0,1.0,0.2836812842804912
Classical shape,K-means,0,0.5392516613599153,0.5392516613599153,1.0,1.0,0.4313905023654708
Classical shape,Average linkage,0,0.6618991340183651,0.6618991340183651,1.0,1.0,0.014902398197912437
Classical shape,DBSCAN,0,0.892802515028237,,0.76125,0.775,0.0698816468241911
Classical shape,HDBSCAN,0,0.8401318470869696,1.0,0.46,0.4875,0.1546539777493698
Classical full,K-medoids,0,0.4654690037441164,0.4654690037441164,1.0,1.0,0.40044921915174464
Classical full,K-means,0,0.5431248393502252,0.5431248393502252,1.0,1.0,0.6222790671107513
Classical full,Average linkage,0,0.8877070892592628,0.8877070892592628,1.0,1.0,0.014902398197912437
Classical full,DBSCAN,0,0.5218164603165713,,0.7725,0.79,0.5675664238878703
Classical full,HDBSCAN,0,0.8347392955092828,0.9519825290047178,0.57,0.63375,0.3329400364395279
JDR,K-medoids,1,0.8624304876391651,0.8624304876391651,1.0,1.0,0.30451171262728427
JDR,K-means,1,0.9594657698059744,0.9594657698059744,1.0,1.0,0.31379845577421644
JDR,Average linkage,1,0.8580594937571551,0.8580594937571551,1.0,1.0,0.5872646670532194
JDR,DBSCAN,1,0.9317423381908913,0.9775423087461231,0.7925,0.80625,0.5653999217432072
JDR,HDBSCAN,1,0.4570573537596608,0.7734149842675637,0.62375,0.79875,0.5404908366944976
Classical shape,K-medoids,1,0.8255239420767857,0.8255239420767857,1.0,1.0,0.44559738653744674
Classical shape,K-means,1,0.9902473708094531,0.9902473708094531,1.0,1.0,0.31750302874810366
Classical shape,Average linkage,1,0.6632153467233168,0.6632153467233168,1.0,1.0,0.010115855824795648
Classical shape,DBSCAN,1,0.919718324839498,,0.75875,0.765,0.09635995988540554
Classical shape,HDBSCAN,1,0.8461976562917852,1.0,0.46875,0.5,0.16953435409942602
Classical full,K-medoids,1,0.9950399242202719,0.9950399242202719,1.0,1.0,0.6644960726387181
Classical full,K-means,1,0.9823582738492634,0.9823582738492634,1.0,1.0,0.4373054598757567
Classical full,Average linkage,1,1.0,1.0,1.0,1.0,0.010115855824795648
Classical full,DBSCAN,1,0.8562234522858888,,0.75875,0.76625,0.09002970494415494
Classical full,HDBSCAN,1,0.906136832961391,1.0,0.5575,0.5675,0.25788924331294455
JDR,K-medoids,2,0.8458915123915114,0.8458915123915114,1.0,1.0,0.3200607063617026
JDR,K-means,2,0.9728529170235622,0.9728529170235622,1.0,1.0,0.31814482995198823
JDR,Average linkage,2,0.8066422861161995,0.8066422861161995,1.0,1.0,0.7257026240786308
JDR,DBSCAN,2,0.9050408719843879,0.9692559840886399,0.80125,0.83125,0.5490110210300807
JDR,HDBSCAN,2,0.5423917704414036,0.761721650390112,0.50625,0.51625,0.09825142357153827
Classical shape,K-medoids,2,0.7343571028304285,0.7343571028304285,1.0,1.0,0.42475203852391946
Classical shape,K-means,2,0.5824176762382424,0.5824176762382424,1.0,1.0,0.4724351261623663
Classical shape,Average linkage,2,0.9321308604271547,0.9321308604271547,1.0,1.0,0.024404622585936234
Classical shape,DBSCAN,2,0.8821756213478198,,0.76125,0.77875,0.07978599112626503
Classical shape,HDBSCAN,2,0.8651588930409133,1.0,0.44875,0.45375,0.1282863983328336
Classical full,K-medoids,2,0.5181664036077732,0.5181664036077732,1.0,1.0,0.43715737170164953
Classical full,K-means,2,0.5623413642762307,0.5623413642762307,1.0,1.0,0.6304575694925312
Classical full,Average linkage,2,0.723392545519912,0.723392545519912,1.0,1.0,0.026256070693053274
Classical full,DBSCAN,2,0.9068320628218857,,0.775,0.78625,0.054326269908096525
Classical full,HDBSCAN,2,0.8778693101472377,0.9915050711665268,0.5225,0.525,0.20287036860563715
JDR,K-medoids,3,0.9873973630612537,0.9873973630612537,1.0,1.0,0.28881280130737486
JDR,K-means,3,0.96533107727441,0.96533107727441,1.0,1.0,0.3001092830494077
