representation,model,catalog_type,n,retention
JDR,K-medoids,RRab,380,1.0
JDR,K-medoids,RRc,101,1.0
JDR,K-medoids,RRd,18,1.0
JDR,K-medoids,RRe,13,1.0
JDR,K-means,RRab,380,1.0
JDR,K-means,RRc,101,1.0
JDR,K-means,RRd,18,1.0
JDR,K-means,RRe,13,1.0
JDR,Average linkage,RRab,380,1.0
JDR,Average linkage,RRc,101,1.0
JDR,Average linkage,RRd,18,1.0
JDR,Average linkage,RRe,13,1.0
JDR,DBSCAN,RRab,380,0.8526315789473684
JDR,DBSCAN,RRc,101,0.5445544554455446
JDR,DBSCAN,RRd,18,0.8888888888888888
JDR,DBSCAN,RRe,13,0.9230769230769231
JDR,HDBSCAN,RRab,380,0.5289473684210526
JDR,HDBSCAN,RRc,101,0.42574257425742573
JDR,HDBSCAN,RRd,18,0.4444444444444444
JDR,HDBSCAN,RRe,13,0.46153846153846156
Classical shape,K-medoids,RRab,380,1.0
Classical shape,K-medoids,RRc,101,1.0
Classical shape,K-medoids,RRd,18,1.0
Classical shape,K-medoids,RRe,13,1.0
Classical shape,K-means,RRab,380,1.0
Classical shape,K-means,RRc,101,1.0
Classical shape,K-means,RRd,18,1.0
Classical shape,K-means,RRe,13,1.0
Classical shape,Average linkage,RRab,380,1.0
Classical shape,Average linkage,RRc,101,1.0
Classical shape,Average linkage,RRd,18,1.0
Classical shape,Average linkage,RRe,13,1.0
Classical shape,DBSCAN,RRab,380,0.8657894736842106
Classical shape,DBSCAN,RRc,101,0.6534653465346535
Classical shape,DBSCAN,RRd,18,0.0
Classical shape,DBSCAN,RRe,13,0.0
Classical shape,HDBSCAN,RRab,380,0.7052631578947368
Classical shape,HDBSCAN,RRc,101,0.3465346534653465
Classical shape,HDBSCAN,RRd,18,0.0
Classical shape,HDBSCAN,RRe,13,0.0
Classical full,K-medoids,RRab,380,1.0
Classical full,K-medoids,RRc,101,1.0
Classical full,K-medoids,RRd,18,1.0
Classical full,K-medoids,RRe,13,1.0
Classical full,K-means,RRab,380,1.0
Classical full,K-means,RRc,101,1.0
Classical full,K-means,RRd,18,1.0
Classical full,K-means,RRe,13,1.0
Classical full,Average linkage,RRab,380,1.0
Classical full,Average linkage,RRc,101,1.0
Classical full,Average linkage,RRd,18,1.0
Classical full,Average linkage,RRe,13,1.0
Classical full,DBSCAN,RRab,380,0.8710526315789474
Classical full,DBSCAN,RRc,101,0.594059405940594
Classical full,DBSCAN,RRd,18,0.2777777777777778
Classical full,DBSCAN,RRe,13,0.0
Classical full,HDBSCAN,RRab,380,0.9236842105263158
Classical full,HDBSCAN,RRc,101,0.5148514851485149
Classical full,HDBSCAN,RRd,18,0.16666666666666666
Classical full,HDBSCAN,RRe,13,0.07692307692307693
