object_id,JDR | K-medoids,JDR | K-means,JDR | Average linkage,JDR | DBSCAN,JDR | HDBSCAN,Classical shape | K-medoids,Classical shape | K-means,Classical shape | Average linkage,Classical shape | DBSCAN,Classical shape | HDBSCAN,Classical full | K-medoids,Classical full | K-means,Classical full | Average linkage,Classical full | DBSCAN,Classical full | HDBSCAN
OGLE-BLG-RRLYR-00302,0,1,2,0,10,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-00316,0,2,2,0,8,0,0,2,-1,-1,0,2,1,-1,-1
OGLE-BLG-RRLYR-00318,0,1,2,0,10,2,2,0,0,-1,2,0,2,0,1
OGLE-BLG-RRLYR-00532,0,2,2,0,-1,2,2,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-00660,0,2,2,0,8,1,3,0,0,-1,1,1,2,0,1
OGLE-BLG-RRLYR-00873,0,2,2,0,8,2,2,0,0,-1,2,0,2,0,1
OGLE-BLG-RRLYR-00905,0,2,2,0,8,2,2,0,0,-1,2,0,2,-1,1
OGLE-BLG-RRLYR-01002,1,3,2,0,14,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-01004,1,1,2,0,16,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-01094,1,1,2,0,-1,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-01095,1,3,2,0,14,2,2,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-01135,1,1,2,0,18,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-01145,1,1,2,0,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-01212,0,1,2,0,10,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-01285,0,1,2,0,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-01348,0,2,2,0,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-01367,0,2,2,0,10,2,2,0,0,-1,2,0,2,0,1
OGLE-BLG-RRLYR-01471,0,2,2,0,8,1,3,0,-1,-1,3,1,2,-1,1
OGLE-BLG-RRLYR-01632,0,2,2,0,10,2,2,0,0,-1,2,0,2,0,1
OGLE-BLG-RRLYR-01653,0,2,2,0,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-01791,1,3,2,0,14,2,2,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-01792,1,1,2,0,-1,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-01857,1,1,2,0,-1,2,2,0,0,-1,2,0,2,0,1
OGLE-BLG-RRLYR-01949,1,3,2,-1,-1,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-01951,1,3,2,0,14,2,2,0,0,-1,2,0,2,0,1
OGLE-BLG-RRLYR-02113,1,1,2,0,-1,1,3,0,0,-1,3,1,2,0,1
OGLE-BLG-RRLYR-02158,0,2,2,0,-1,2,2,0,-1,-1,2,0,2,-1,-1
OGLE-BLG-RRLYR-02309,0,2,2,-1,-1,1,3,0,0,0,1,1,2,1,4
OGLE-BLG-RRLYR-02354,0,2,2,0,-1,1,3,0,-1,-1,1,1,2,-1,-1
OGLE-BLG-RRLYR-02435,1,1,2,0,16,1,3,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-02518,1,1,2,0,-1,2,2,0,0,-1,2,0,2,0,1
OGLE-BLG-RRLYR-02541,1,3,2,0,14,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-02656,1,3,2,0,14,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-02801,3,0,2,0,-1,1,3,0,-1,-1,1,1,2,-1,-1
OGLE-BLG-RRLYR-02834,3,0,2,-1,-1,1,3,0,0,-1,1,1,2,-1,-1
OGLE-BLG-RRLYR-02968,1,1,2,0,15,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-03004,3,0,2,-1,-1,1,3,0,0,-1,1,1,2,1,-1
OGLE-BLG-RRLYR-03241,2,3,0,-1,-1,3,1,0,0,-1,3,3,2,0,1
OGLE-BLG-RRLYR-03409,0,1,2,0,-1,3,1,0,0,-1,3,3,2,-1,1
OGLE-BLG-RRLYR-03444,1,1,2,0,-1,2,2,0,0,-1,2,0,2,0,1
OGLE-BLG-RRLYR-03531,2,3,0,1,1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-03543,0,2,2,0,8,3,1,0,-1,-1,1,1,2,-1,-1
OGLE-BLG-RRLYR-03734,3,0,0,-1,-1,3,1,0,-1,-1,3,3,2,-1,-1
OGLE-BLG-RRLYR-04045,3,0,3,-1,2,1,3,0,0,-1,1,1,2,-1,-1
OGLE-BLG-RRLYR-04049,0,2,2,0,-1,2,2,0,0,-1,2,0,2,0,1
OGLE-BLG-RRLYR-04058,1,3,2,0,14,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-04201,2,3,0,-1,0,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-04202,2,3,0,-1,1,2,2,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-04214,2,3,0,-1,1,3,1,0,-1,-1,3,3,2,0,1
OGLE-BLG-RRLYR-04229,2,3,0,-1,0,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-04268,1,1,2,0,15,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-04287,0,2,2,0,8,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-04412,2,3,0,-1,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-04470,1,3,2,-1,-1,3,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-04493,2,3,0,-1,0,1,3,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-04597,2,3,0,-1,0,2,2,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-04631,3,0,3,-1,-1,1,3,0,0,-1,1,1,2,1,-1
OGLE-BLG-RRLYR-04650,2,3,0,-1,0,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-04665,0,1,2,0,10,2,2,0,0,-1,2,0,2,0,1
OGLE-BLG-RRLYR-04758,3,0,3,-1,-1,1,3,0,0,-1,1,1,2,1,-1
OGLE-BLG-RRLYR-04836,3,0,3,-1,-1,1,3,0,0,0,1,1,2,1,4
OGLE-BLG-RRLYR-04878,1,1,2,0,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-04940,2,3,0,-1,0,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-05097,1,1,2,0,15,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-05127,1,1,2,0,-1,1,3,0,-1,-1,2,1,2,-1,-1
OGLE-BLG-RRLYR-05149,2,3,0,-1,0,1,3,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-05189,2,3,0,-1,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-05679,3,0,3,-1,-1,1,3,0,0,0,1,1,2,1,4
OGLE-BLG-RRLYR-05811,2,3,0,1,1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-05867,1,1,2,0,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-05959,1,1,2,-1,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-06026,2,3,0,-1,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-06063,3,0,1,-1,-1,1,3,0,0,2,1,1,2,0,1
OGLE-BLG-RRLYR-06174,3,0,2,-1,-1,1,3,0,0,1,1,1,2,1,-1
OGLE-BLG-RRLYR-06189,3,0,3,-1,-1,1,3,0,0,1,1,1,2,1,5
OGLE-BLG-RRLYR-06242,0,2,2,0,9,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-06311,3,0,3,-1,-1,1,3,0,0,0,1,1,2,1,4
OGLE-BLG-RRLYR-06502,1,3,2,0,-1,2,2,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-06648,2,3,0,-1,0,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-06713,2,3,0,-1,-1,2,2,0,-1,-1,3,3,2,-1,-1
OGLE-BLG-RRLYR-06983,2,3,0,-1,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-07209,3,0,1,-1,-1,1,3,0,0,1,1,1,2,1,5
OGLE-BLG-RRLYR-07295,2,3,0,-1,1,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-07337,1,3,0,-1,-1,2,2,0,0,-1,2,0,2,0,1
OGLE-BLG-RRLYR-07396,3,0,3,-1,-1,1,3,0,0,1,1,1,2,1,5
OGLE-BLG-RRLYR-07505,2,3,0,1,1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-07541,2,3,0,-1,-1,2,2,0,-1,-1,2,0,2,-1,1
OGLE-BLG-RRLYR-07566,2,3,0,-1,-1,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-07933,3,0,0,-1,-1,3,1,0,0,-1,1,1,2,-1,-1
OGLE-BLG-RRLYR-08100,2,3,0,-1,0,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-08207,0,2,2,0,-1,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-08275,1,1,2,0,19,1,3,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-08332,1,1,2,0,-1,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-08450,2,3,0,-1,-1,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-08699,2,3,0,-1,-1,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-09008,3,0,3,-1,-1,1,3,0,-1,-1,1,1,2,-1,-1
OGLE-BLG-RRLYR-09064,2,3,0,-1,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-09103,0,2,2,0,9,2,2,0,0,-1,2,0,2,0,1
OGLE-BLG-RRLYR-09288,0,2,2,0,8,1,3,0,0,1,1,1,2,1,5
OGLE-BLG-RRLYR-09457,1,3,2,0,14,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-09477,1,3,2,0,14,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-09484,2,3,0,-1,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-09502,2,3,0,-1,1,2,2,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-09512,1,3,2,0,14,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-09525,1,1,2,0,-1,2,2,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-09573,2,3,0,-1,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-09582,0,1,2,0,10,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-09716,2,3,0,-1,1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-09765,1,3,2,0,14,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-09826,1,3,2,0,14,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-09847,0,2,2,0,11,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-10174,1,1,2,0,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-10361,3,0,3,-1,2,1,3,0,0,0,1,1,2,1,4
OGLE-BLG-RRLYR-10435,1,1,2,0,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-10454,1,3,2,0,14,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-10490,1,1,2,-1,-1,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-10728,0,2,2,0,-1,2,2,0,-1,-1,2,0,2,-1,-1
OGLE-BLG-RRLYR-10787,3,0,3,-1,-1,1,3,0,0,0,1,1,2,1,4
OGLE-BLG-RRLYR-10876,1,1,2,2,6,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-10991,3,0,3,-1,-1,1,3,0,0,1,1,1,2,1,5
OGLE-BLG-RRLYR-11044,3,0,3,-1,2,1,3,0,0,1,1,1,2,1,5
OGLE-BLG-RRLYR-11129,1,3,2,0,14,1,2,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-11256,1,3,2,0,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-11428,2,3,0,1,1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-11435,2,3,0,-1,1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-11484,2,3,0,1,1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-11685,2,3,0,1,1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-11688,0,2,2,-1,-1,1,3,0,-1,-1,1,1,2,-1,-1
OGLE-BLG-RRLYR-11741,1,1,2,0,18,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-11821,2,3,0,-1,1,2,2,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-11846,2,3,0,-1,1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-12060,2,3,0,-1,-1,1,3,0,0,2,3,1,2,0,1
OGLE-BLG-RRLYR-12101,3,0,3,-1,-1,1,3,0,-1,-1,1,1,2,-1,-1
OGLE-BLG-RRLYR-12235,0,2,2,-1,-1,1,3,0,-1,-1,1,1,2,-1,-1
OGLE-BLG-RRLYR-12354,3,0,3,-1,2,1,3,0,0,1,1,1,2,1,5
OGLE-BLG-RRLYR-12364,2,3,0,-1,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-12389,2,3,0,-1,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-12416,0,2,2,0,9,2,2,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-12442,2,3,0,-1,-1,1,3,0,0,2,3,0,2,0,1
OGLE-BLG-RRLYR-12472,2,3,0,-1,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-12491,2,3,0,-1,-1,2,2,0,0,2,2,0,2,0,1
OGLE-BLG-RRLYR-12705,0,2,2,0,8,1,3,0,0,-1,1,1,2,1,-1
