object_id,region,catalog_type,catalog_period,catalog_epoch,catalog_secondary_period,period_mode,sha256,file,bytes,n_observations,baseline_days,has_errors
OGLE-BLG-RRLYR-00302,BLG,RRab,0.47712911,5000.06987,,fundamental,48d2e16f9b6d2164a396d404fac77c7dd57da4abd28c32b697af43cfa6a49abb,photometry/OGLE-BLG-RRLYR-00302.dat,3168,132,932.1593400000002,True
OGLE-BLG-RRLYR-00316,BLG,RRc,0.43373005,5000.08008,,first overtone,313ee5a9cff3342adebe935175815756d6801b2d54d15b39593631eef4cb7dc4,photometry/OGLE-BLG-RRLYR-00316.dat,3144,131,932.1593400000002,True
OGLE-BLG-RRLYR-00318,BLG,RRab,0.47361705,5000.04109,,fundamental,7c328d3ba0a6d446252a6ea50a73a874d079ded5792dd09bf6e0ec51630a2e1b,photometry/OGLE-BLG-RRLYR-00318.dat,3072,128,932.1593400000002,True
OGLE-BLG-RRLYR-00532,BLG,RRab,0.57804968,5000.54801,,fundamental,95dfcbe88099ea09acd93ec01e4c03c82b5d42461dfb21af7373ba868b706149,photometry/OGLE-BLG-RRLYR-00532.dat,2472,103,931.35452,True
OGLE-BLG-RRLYR-00660,BLG,RRab,0.68781512,5000.15767,,fundamental,af51e0fbab312f04abaf1aee5095e608aeb077eb1bec2a622f72a458a6c30901,photometry/OGLE-BLG-RRLYR-00660.dat,2592,108,929.32769,True
OGLE-BLG-RRLYR-00873,BLG,RRab,0.56903422,5000.36504,,fundamental,44e8ce468f30c160974739e3cfa124e2b70e29fb7f3596c615382f7352fab819,photometry/OGLE-BLG-RRLYR-00873.dat,2664,111,1062.2091,True
OGLE-BLG-RRLYR-00905,BLG,RRab,0.47800717,5000.39845,,fundamental,9aa46b6fb464640eba6028217505e3b68f909d4d74a8b4751d372c1a052e6ca1,photometry/OGLE-BLG-RRLYR-00905.dat,2568,107,930.30166,True
OGLE-BLG-RRLYR-01002,BLG,RRab,0.54882496,5000.01381,,fundamental,01790a25e71bd52de3ba88755f7f409246c6ecb92e9bd0efdaff70d0bc2f1f2d,photometry/OGLE-BLG-RRLYR-01002.dat,17616,734,3228.04648,True
OGLE-BLG-RRLYR-01004,BLG,RRab,0.542952,5000.10546,,fundamental,16b7d493039c5e980c87b03a42215489ba5585bd78755e91cf43ff0a74abc62c,photometry/OGLE-BLG-RRLYR-01004.dat,9120,380,1276.70684,True
OGLE-BLG-RRLYR-01094,BLG,RRab,0.63333859,5000.32813,,fundamental,2c6e88b747e57a363594d577a7adef109c0f6d5d8b61c63295d5879602464f10,photometry/OGLE-BLG-RRLYR-01094.dat,7344,306,1655.39088,True
