representation,model,convention,ari_all,ami_all,coverage,n_noise,n_clusters,purity_assigned,ari_assigned,silhouette_assigned
JDR,K-medoids,Euclidean sqrt sensitivity,0.1813843156874251,0.25840476534176293,1.0,0,4,0.826171875,0.1813843156874251,0.3960004694990846
JDR,K-means,Euclidean sqrt sensitivity,0.23654139385710446,0.2708059159721383,1.0,0,4,0.798828125,0.23654139385710446,0.42684659296588523
JDR,Average linkage,Euclidean sqrt sensitivity,-0.04329948353860226,0.06573794412540496,1.0,0,4,0.75390625,-0.04329948353860226,0.4381769322084135
JDR,DBSCAN,Euclidean sqrt sensitivity,0.24101334234847144,0.1407239035877552,0.794921875,105,5,0.8378378378378378,0.27055738396708856,-0.04983002701387761
JDR,HDBSCAN,Euclidean sqrt sensitivity,0.10071151513624114,0.08427966309957026,0.890625,56,4,0.7894736842105263,-0.011298453573385861,0.3384157383403955
Classical shape,K-medoids,Euclidean sqrt sensitivity,0.21077494272722275,0.24251123776332534,1.0,0,4,0.822265625,0.21077494272722275,0.22072676409127417
Classical shape,K-means,Euclidean sqrt sensitivity,0.3400598474677206,0.3226442689856871,1.0,0,4,0.7890625,0.3400598474677206,0.3273613971727967
Classical shape,Average linkage,Euclidean sqrt sensitivity,0.1058980723020039,0.095619499360218,1.0,0,4,0.765625,0.1058980723020039,0.5782356133934017
Classical shape,DBSCAN,Euclidean sqrt sensitivity,0.26538786081690746,0.17829842729867415,0.771484375,117,1,0.8329113924050633,0.0,
Classical shape,HDBSCAN,Euclidean sqrt sensitivity,0.2857175558793233,0.2943883873525546,0.591796875,209,4,0.9801980198019802,0.8562196308545088,0.3091275806735962
Classical full,K-medoids,Euclidean sqrt sensitivity,0.31331501913293164,0.392195435060996,1.0,0,4,0.8671875,0.31331501913293164,0.22340264112262306
Classical full,K-means,Euclidean sqrt sensitivity,0.41799599899690076,0.37032760867935044,1.0,0,4,0.818359375,0.41799599899690076,0.33629717810373155
Classical full,Average linkage,Euclidean sqrt sensitivity,0.09857989127599931,0.08965462476870796,1.0,0,4,0.763671875,0.09857989127599931,0.5752815312385988
Classical full,DBSCAN,Euclidean sqrt sensitivity,0.63402070674345,0.5377793016880739,0.7734375,116,4,1.0,0.9720288921159183,0.3174362923407945
Classical full,HDBSCAN,Euclidean sqrt sensitivity,0.7666616068475969,0.6006420164536295,0.86328125,70,3,0.9683257918552036,0.9683118509979325,0.3879530918244982
