representation,model,ari_all,ami_all,coverage,n_noise,n_clusters,purity_assigned,ari_assigned,silhouette_assigned
JDR,K-medoids,0.23841760986078755,0.2590892224427123,1.0,0,4,0.802734375,0.23841760986078755,0.602460099837026
JDR,K-means,0.23654139385710446,0.2708059159721383,1.0,0,4,0.798828125,0.23654139385710446,0.5881146248965765
JDR,Average linkage,0.06375329210455166,0.1336730221507076,1.0,0,4,0.787109375,0.06375329210455166,0.530874909734407
JDR,DBSCAN,0.24101334234847144,0.1407239035877552,0.794921875,105,5,0.8378378378378378,0.27055738396708856,-0.22075762781308067
JDR,HDBSCAN,-0.019543000993660995,0.109786239648949,0.50390625,254,20,0.8682170542635659,0.05286188529172826,0.6038935008434299
Classical shape,K-medoids,0.3103385239482186,0.30878959377515025,1.0,0,4,0.794921875,0.3103385239482186,0.4782781230447698
Classical shape,K-means,0.3400598474677206,0.3226442689856871,1.0,0,4,0.7890625,0.3400598474677206,0.4881200770651318
Classical shape,Average linkage,0.1058980723020039,0.095619499360218,1.0,0,4,0.765625,0.1058980723020039,0.7859002376719447
Classical shape,DBSCAN,0.26538786081690746,0.17829842729867415,0.771484375,117,1,0.8329113924050633,0.0,
Classical shape,HDBSCAN,0.2857175558793233,0.2943883873525546,0.591796875,209,4,0.9801980198019802,0.8562196308545088,0.4290974366208744
Classical full,K-medoids,0.3992800331010761,0.48719007623082144,1.0,0,4,0.916015625,0.3992800331010761,0.36555947459708077
Classical full,K-means,0.41799599899690076,0.37032760867935044,1.0,0,4,0.818359375,0.41799599899690076,0.5030782353892354
Classical full,Average linkage,0.1058980723020039,0.095619499360218,1.0,0,4,0.765625,0.1058980723020039,0.7644036510138481
Classical full,DBSCAN,0.63402070674345,0.5377793016880739,0.7734375,116,4,1.0,0.9720288921159183,0.453285262047761
Classical full,HDBSCAN,0.7315224988643483,0.5487053940643299,0.794921875,105,6,0.9901719901719902,0.9680818380760677,0.4000856966380292
