representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
JDR,K-medoids,0,0.6998082363981123,0.6998082363981123,1.0,1.0,0.25799370001011157
JDR,K-means,0,0.7440319356764031,0.7440319356764031,1.0,1.0,0.2924390670506603
JDR,Average linkage,0,0.9046272122223036,0.9046272122223036,1.0,1.0,0.05234071596454625
JDR,DBSCAN,0,0.740315919046403,0.5175476683321915,0.7750611246943765,0.7799511002444988,0.13587329870522535
JDR,HDBSCAN,0,0.7176708131206891,0.8878404641861252,0.44254278728606355,0.4963325183374083,0.0017356085875372216
Classical shape,K-medoids,0,0.777038015145189,0.777038015145189,1.0,1.0,0.3174360754337753
Classical shape,K-means,0,0.903659635066998,0.903659635066998,1.0,1.0,0.4392799357189447
Classical shape,Average linkage,0,0.9541751417487416,0.9541751417487416,1.0,1.0,0.11080896974226931
Classical shape,DBSCAN,0,0.8640956287499,,0.7603911980440098,0.784841075794621,0.33049654298768383
Classical shape,HDBSCAN,0,0.8267035153264032,0.9438931761019393,0.5794621026894865,0.6210268948655256,0.392698424923536
Classical full,K-medoids,0,0.4710121596779053,0.4710121596779053,1.0,1.0,0.5576354987868152
Classical full,K-means,0,0.9220799850130009,0.9220799850130009,1.0,1.0,0.5181146351996077
Classical full,Average linkage,0,0.9541751417487416,0.9541751417487416,1.0,1.0,0.11080896974226931
Classical full,DBSCAN,0,0.9064081058371325,0.9990045768913886,0.7481662591687042,0.7775061124694377,0.6477752669212898
Classical full,HDBSCAN,0,0.9710415553787801,0.9949425344690602,0.78239608801956,0.7897310513447433,0.7374279824461902
JDR,K-medoids,1,0.6465698249459969,0.6465698249459969,1.0,1.0,0.22955465128901115
JDR,K-means,1,0.8436184622087612,0.8436184622087612,1.0,1.0,0.2909768335676679
JDR,Average linkage,1,0.2959836058545364,0.2959836058545364,1.0,1.0,0.49214871767083507
JDR,DBSCAN,1,0.7513439263001334,0.5621282428595603,0.78239608801956,0.7897310513447433,0.11658692286877131
JDR,HDBSCAN,1,0.5489264197235403,0.9019828015224695,0.4058679706601467,0.5134474327628362,-0.02691052421871685
Classical shape,K-medoids,1,0.9920949261653701,0.9920949261653701,1.0,1.0,0.305684220494762
Classical shape,K-means,1,0.9971383112661175,0.9971383112661175,1.0,1.0,0.34144015479288753
Classical shape,Average linkage,1,0.9986932593371934,0.9986932593371934,1.0,1.0,0.09969386761640955
Classical shape,DBSCAN,1,0.8932563126536199,,0.7726161369193154,0.7946210268948656,0.28880500815938637
Classical shape,HDBSCAN,1,0.006291853120269629,,0.5916870415647921,0.9951100244498777,0.06857932002815997
Classical full,K-medoids,1,0.44197606707380543,0.44197606707380543,1.0,1.0,0.3126215622449474
Classical full,K-means,1,0.9571380452189627,0.9571380452189627,1.0,1.0,0.41194171913600525
Classical full,Average linkage,1,1.0,1.0,1.0,1.0,0.09983779779689748
Classical full,DBSCAN,1,0.96146879411548,1.0,0.7652811735941321,0.784841075794621,0.6314908854579444
Classical full,HDBSCAN,1,0.9687825834062627,0.9989264208640268,0.7799511002444988,0.784841075794621,0.7085663622497407
